Number of Nodes,Brushfire mean,NNs mean,Mean distance,Mean minimun distance,Class
13,66.8461538462,2.6153846154,210.2216768447,43.9290864183,0
10,68.8,2.2,380.1992756052,153.2092401222,0
11,68.5454545455,2.6363636364,405.7886166415,92.8725234147,0
5,51.8,2,174.0148788373,55.467580357,1
6,93.8333333333,2.6666666667,110.0987478537,34.3265844289,0
6,69,2.5,134.3655236014,67.8861746223,0
13,66.6923076923,2.7692307692,228.1544424974,27.2327845343,0
21,58.2380952381,2.4761904762,186.3377872922,24.1735793186,0
51,61.2156862745,2.4117647059,256.0153806678,24.8080006997,0
4,38.75,1.75,110.7481722039,51.0593710404,0
6,81.3333333333,2.5,92.971951259,42.984103978,0
19,70.8421052632,2.6842105263,262.6312346825,41.165217669,0
14,68.7142857143,2.6428571429,461.4595828379,84.341687519,0
6,72.8333333333,2.5,52.3755633524,24.1747243586,1
17,72.1764705882,2.4705882353,295.2230344556,51.3347822959,0
1,82,2,152.05262247,152.05262247,1
31,70.8387096774,2.6774193548,392.3276544093,35.1221812761,0
14,68.4285714286,2.2142857143,123.5004557655,35.3777255429,0
12,84.9166666667,2.8333333333,223.9726875327,45.2682356085,0
18,82.5555555556,2.5555555556,322.7326269181,53.6418752563,0
1,68,2,263.0019011338,263.0019011338,1
29,81.3448275862,2.5172413793,432.3104549817,50.624467029,0
6,68.5,2.3333333333,294.5810524223,96.6428243484,0
3,68.3333333333,2.3333333333,192.3868751092,134.119964342,1
66,80.6515151515,2.6363636364,568.488371249,49.8374069709,1
3,81,2.3333333333,225.6528429105,124.0329606867,0
2,58,1.5,107.2986486401,107.2986486401,0
3,69.3333333333,2.3333333333,236.9953684525,164.7352832327,0
2,92,1.5,105,105,1
13,66,2.6153846154,222.1254650729,30.9266440987,0
15,64,2.6666666667,287.1174884056,40.44162475,0
2,59,1.5,90.4709898255,90.4709898255,0
4,39.75,1.75,67.4371225534,19.9486503388,0
6,63.8333333333,1.8333333333,80.1964740061,26.5221550242,0
18,87.4444444444,2.3888888889,431.1603736092,72.3804889721,0
9,65.7777777778,2.3333333333,180.2975755275,85.4209656429,0
21,94.2857142857,2.5238095238,448.9801181869,33.6803823558,1
16,82.875,2.5,207.2569603452,46.3533005869,0
